property_id,transit_id,neighborhood_id,security_id,utility_id,feature_id,construction_id,address,zipcode,state,city,year_built,square_feet,property_type,bedroom_number,bathroom_number,description
18,175,524,18,18,961,961,731 Mccall Crossing Apt. 832,6039,NJ,Waterbury,1974,1253,Townhouse,2,1,"This luxurious 2-bedroom townhouse offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy fireplace, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for style and comfort."
19,790,380,19,19,486,486,2488 Benjamin Motorway,10538,CT,Buffalo,1946,3484,Townhouse,3,2,"This charming 3-bedroom townhouse offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy parking, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for a rental opportunity."
20,451,186,20,20,926,926,2235 Amanda Ports Suite 807,6268,CT,Hartford,1987,2413,Apartment,1,2,"This charming 1-bedroom apartment offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy doorman, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for a rental opportunity."
21,190,568,21,21,870,870,21835 Thomas Trail,6180,NJ,Hartford,1935,1355,Apartment,4,3,"This charming 4-bedroom apartment offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy pool, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for a rental opportunity."
22,58,786,22,22,285,285,47465 Butler Orchard,7209,CT,Paterson,1926,1877,Apartment,4,3,"This charming 4-bedroom apartment offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy doorman, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for a rental opportunity."
23,411,951,23,23,204,204,4011 Smith Oval,10965,NY,Syracuse,1961,1718,Condo,4,1,"This charming 4-bedroom condo offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy fireplace, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for a rental opportunity."
24,54,105,24,24,25,25,26781 Lane Square Suite 759,6287,CT,Waterbury,1914,712,Single Family Home,2,2,"This charming 2-bedroom single family home offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy patio, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for a rental opportunity."
25,369,257,25,25,155,155,513 Lucas Islands Suite 945,12238,NY,Albany,1972,2689,Apartment,4,1,"This charming 4-bedroom apartment offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy doorman, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for a rental opportunity."
26,453,780,26,26,666,666,1702 Alexander Trail,8825,NJ,Newark,1937,2792,Condo,2,2,"This charming 2-bedroom condo offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy doorman, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for a rental opportunity."
27,122,549,27,27,824,824,835 Griffin Pass Suite 053,14614,CT,New York,1952,689,Condo,4,3,"This luxurious 4-bedroom condo offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy fireplace, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for style and comfort."
28,919,740,28,28,930,930,319 Castro Hollow,12295,NJ,Syracuse,1950,1666,Single Family Home,1,1,"This luxurious 1-bedroom single family home offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy fireplace, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for style and comfort."
29,339,206,29,29,822,822,984 Aaron Garden,8685,NY,Elizabeth,1990,1590,Single Family Home,1,2,"This luxurious 1-bedroom single family home offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy fireplace, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for style and comfort."
30,679,765,30,30,307,307,584 Anthony Vista Apt. 064,8939,NY,Jersey City,2017,1253,Condo,1,2,"This charming 1-bedroom condo offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy patio, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for a rental opportunity."
31,450,265,31,31,542,542,329 Joseph Rest Apt. 948,6041,NJ,Hartford,1942,3200,Townhouse,3,3,"This luxurious 3-bedroom townhouse offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy doorman, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for style and comfort."
32,645,320,32,32,281,281,09624 Theresa Oval Apt. 727,7240,CT,Newark,2015,3029,Condo,2,2,"This luxurious 2-bedroom condo offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy fireplace, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for style and comfort."
33,126,999,33,33,69,69,289 Myers Trail Apt. 859,6283,CT,Waterbury,2015,2216,Condo,5,1,"This charming 5-bedroom condo offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy fireplace, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for a rental opportunity."
34,232,395,34,34,821,821,0182 Marissa Groves,8088,NJ,Paterson,1912,2552,Condo,4,1,"This luxurious 4-bedroom condo offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy gym, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for style and comfort."
35,404,730,35,35,724,724,54309 Karen Plains,6003,NY,New Haven,1907,1931,Single Family Home,2,2,"This charming 2-bedroom single family home offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy parking, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for a rental opportunity."
36,860,746,36,36,739,739,1353 Villegas Courts Suite 207,10139,NY,Albany,1976,1966,Apartment,2,2,"This luxurious 2-bedroom apartment offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy doorman, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for style and comfort."
37,392,10,37,37,893,893,011 Cooper Island,10418,CT,Syracuse,1964,1295,Condo,2,1,"This charming 2-bedroom condo offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy doorman, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for a rental opportunity."
38,369,631,38,38,742,742,1839 Watson Ridges Suite 648,6060,NJ,Stamford,1938,1471,Single Family Home,2,2,"This charming 2-bedroom single family home offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy pool, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for a rental opportunity."
39,374,85,39,39,72,72,4304 Susan Centers,7967,NJ,Trenton,1969,1743,Townhouse,1,2,"This charming 1-bedroom townhouse offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy patio, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for a rental opportunity."
40,478,261,40,40,597,597,23879 Andrew Mews Suite 567,7832,NY,Newark,2009,3361,Townhouse,3,2,"This luxurious 3-bedroom townhouse offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy fireplace, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for style and comfort."
41,867,444,41,41,628,628,9813 Michael Manors Apt. 084,8760,CT,Jersey City,1985,2746,Townhouse,1,3,"This luxurious 1-bedroom townhouse offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy patio, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for style and comfort."
42,857,40,42,42,318,318,8447 Amanda Pines Suite 502,6219,NJ,Bridgeport,1989,504,Townhouse,4,1,"This luxurious 4-bedroom townhouse offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy fireplace, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for style and comfort."
43,826,721,43,43,97,97,830 White Orchard,8707,NY,Elizabeth,1997,685,Townhouse,4,1,"This luxurious 4-bedroom townhouse offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy fireplace, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for style and comfort."
44,461,467,44,44,985,985,6211 Richmond Pass Suite 288,7503,NJ,Paterson,2018,1162,Apartment,1,2,"This charming 1-bedroom apartment offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy gym, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for a rental opportunity."
45,326,751,45,45,745,745,152 Santiago Oval,6323,NJ,New Haven,1981,2231,Single Family Home,5,1,"This luxurious 5-bedroom single family home offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy parking, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for style and comfort."
46,557,719,46,46,977,977,799 Howell Pass Apt. 324,6175,CT,Bridgeport,2003,2389,Townhouse,4,3,"This luxurious 4-bedroom townhouse offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy patio, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for style and comfort."
47,14,216,47,47,296,296,36986 Christina Summit Suite 923,6136,CT,Hartford,1924,567,Single Family Home,5,3,"This luxurious 5-bedroom single family home offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy parking, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for style and comfort."
48,497,751,48,48,631,631,030 Daniel Isle,8743,CT,Newark,2012,2972,Apartment,3,1,"This luxurious 3-bedroom apartment offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy pool, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for style and comfort."
49,423,309,49,49,400,400,42067 Victoria Run Apt. 699,10529,NJ,Buffalo,2011,2271,Apartment,5,3,"This luxurious 5-bedroom apartment offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy gym, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for style and comfort."
50,208,356,50,50,344,344,18389 Kendra Harbor,11041,NY,New York,1967,1086,Apartment,1,3,"This luxurious 1-bedroom apartment offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy parking, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for style and comfort."
51,1,124,51,51,152,152,3047 Shannon Road,11342,NJ,Albany,1962,2800,Townhouse,2,2,"This charming 2-bedroom townhouse offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy patio, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for a rental opportunity."
52,114,561,52,52,39,39,413 Shawna Inlet,6215,CT,Stamford,1906,1636,Apartment,3,1,"This charming 3-bedroom apartment offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy fireplace, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for a rental opportunity."
53,436,287,53,53,361,361,29565 Deborah Expressway,7374,NJ,Paterson,1983,3155,Condo,4,2,"This luxurious 4-bedroom condo offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy parking, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for style and comfort."
54,709,4,54,54,375,375,744 Young Street,12742,NJ,Rochester,2008,1044,Apartment,5,2,"This luxurious 5-bedroom apartment offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy fireplace, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for style and comfort."
55,46,11,55,55,962,962,4942 Buchanan Turnpike Apt. 925,13082,NJ,New York,1967,1467,Single Family Home,5,3,"This charming 5-bedroom single family home offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy parking, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for a rental opportunity."
56,663,289,56,56,639,639,36889 Yolanda Ridge,10560,NJ,Buffalo,1978,1120,Condo,3,1,"This luxurious 3-bedroom condo offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy pool, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for style and comfort."
57,799,150,57,57,640,640,872 Allison Trace,8687,NY,Trenton,1990,1913,Apartment,1,1,"This luxurious 1-bedroom apartment offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy doorman, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for style and comfort."
58,510,938,58,58,178,178,280 Hardy Parks Apt. 900,8489,NJ,Newark,1963,3288,Townhouse,3,2,"This luxurious 3-bedroom townhouse offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy gym, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for style and comfort."
59,545,891,59,59,588,588,7133 Logan Trail,6131,NY,Waterbury,1941,3263,Townhouse,3,3,"This luxurious 3-bedroom townhouse offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy parking, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for style and comfort."
60,632,111,60,60,249,249,48804 Price Hollow,14683,CT,New York,1956,2801,Single Family Home,5,2,"This charming 5-bedroom single family home offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy parking, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for a rental opportunity."
61,608,354,61,61,128,128,823 Sheryl Coves,6150,NJ,Waterbury,1965,2911,Apartment,5,2,"This luxurious 5-bedroom apartment offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy patio, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for style and comfort."
62,46,659,62,62,31,31,439 Matthew Green,6096,NY,Waterbury,1902,886,Condo,3,1,"This charming 3-bedroom condo offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy patio, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for a rental opportunity."
63,101,226,63,63,999,999,9540 Steven Mount Suite 229,8647,NJ,Elizabeth,1984,2694,Townhouse,4,1,"This luxurious 4-bedroom townhouse offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy gym, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for style and comfort."
64,900,180,64,64,111,111,83933 Wendy Gardens,6279,CT,New Haven,1927,1567,Townhouse,5,1,"This luxurious 5-bedroom townhouse offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy doorman, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for style and comfort."
65,701,205,65,65,438,438,045 Roger Radial Suite 353,8683,CT,Jersey City,1956,2663,Apartment,2,1,"This luxurious 2-bedroom apartment offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy parking, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for style and comfort."
66,932,192,66,66,955,955,85983 Matthew Terrace,7815,NY,Elizabeth,1966,921,Single Family Home,2,3,"This charming 2-bedroom single family home offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy patio, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for a rental opportunity."
67,20,565,67,67,483,483,4491 Stephanie Mill,6135,NJ,New Haven,1988,980,Condo,5,1,"This luxurious 5-bedroom condo offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy parking, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for style and comfort."
68,611,451,68,68,350,350,48576 Schmidt Flat Suite 069,12867,NJ,Syracuse,1953,1354,Apartment,5,1,"This charming 5-bedroom apartment offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy patio, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for a rental opportunity."
69,658,858,69,69,817,817,04615 Elizabeth Harbor,6216,NJ,Bridgeport,1980,894,Apartment,4,2,"This luxurious 4-bedroom apartment offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy gym, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for style and comfort."
70,237,491,70,70,572,572,179 Michael Isle,11131,NY,New York,1900,836,Condo,1,1,"This charming 1-bedroom condo offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy doorman, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for a rental opportunity."
71,260,479,71,71,194,194,0521 Herman Fields,6149,NJ,Waterbury,1972,3203,Condo,2,2,"This luxurious 2-bedroom condo offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy gym, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for style and comfort."
72,701,692,72,72,352,352,667 Lowery Club,6078,NJ,Bridgeport,1990,1853,Apartment,4,2,"This luxurious 4-bedroom apartment offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy parking, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for style and comfort."
73,457,349,73,73,959,959,8397 Michael Shoal Apt. 670,8560,NY,Newark,1900,3055,Townhouse,5,2,"This luxurious 5-bedroom townhouse offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy fireplace, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for style and comfort."
74,66,170,74,74,796,796,003 Kristina Prairie,6082,NJ,Hartford,2000,783,Townhouse,2,1,"This luxurious 2-bedroom townhouse offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy parking, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for style and comfort."
75,656,786,75,75,717,717,47277 Smith Ford Suite 091,6206,NJ,Bridgeport,1977,1925,Single Family Home,5,2,"This charming 5-bedroom single family home offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy pool, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for a rental opportunity."
76,874,911,76,76,592,592,2946 Lee Groves Apt. 304,8862,NJ,Jersey City,1954,3172,Single Family Home,3,3,"This luxurious 3-bedroom single family home offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy patio, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for style and comfort."
77,265,828,77,77,95,95,09046 Joseph Corner Suite 756,13246,CT,Rochester,1915,825,Townhouse,5,3,"This charming 5-bedroom townhouse offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy patio, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for a rental opportunity."
78,377,829,78,78,512,512,534 Bradley Streets Apt. 676,12968,NJ,Buffalo,1913,2875,Single Family Home,4,1,"This luxurious 4-bedroom single family home offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy parking, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for style and comfort."
79,309,14,79,79,506,506,8041 Jackson Estate Apt. 846,6068,NJ,Waterbury,1969,3437,Townhouse,4,3,"This charming 4-bedroom townhouse offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy parking, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for a rental opportunity."
80,919,610,80,80,428,428,3861 Rios Branch Apt. 135,7485,NJ,Newark,1990,1467,Single Family Home,3,3,"This luxurious 3-bedroom single family home offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy doorman, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for style and comfort."
81,11,791,81,81,268,268,28839 Joseph Springs,13667,NJ,Syracuse,1900,2422,Single Family Home,5,1,"This charming 5-bedroom single family home offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy doorman, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for a rental opportunity."
82,45,245,82,82,385,385,25019 Thomas Creek Suite 704,6265,NY,Hartford,1939,1282,Condo,1,2,"This luxurious 1-bedroom condo offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy fireplace, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for style and comfort."
83,141,958,83,83,637,637,1460 White Fords,6141,CT,Waterbury,1975,2479,Single Family Home,4,3,"This luxurious 4-bedroom single family home offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy fireplace, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for style and comfort."
84,4,345,84,84,143,143,26608 White Ports Suite 161,8184,CT,Newark,1958,2313,Townhouse,5,3,"This luxurious 5-bedroom townhouse offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy fireplace, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for style and comfort."
85,279,415,85,85,294,294,7883 William Walk Apt. 308,6116,NJ,Bridgeport,1985,3435,Apartment,1,2,"This charming 1-bedroom apartment offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy pool, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for a rental opportunity."
86,653,907,86,86,237,237,51049 Misty Circles Suite 438,6172,NY,Stamford,1907,891,Townhouse,1,1,"This luxurious 1-bedroom townhouse offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy parking, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for style and comfort."
87,666,644,87,87,882,882,287 Jimenez Flats,8964,NY,Elizabeth,1945,1495,Condo,4,3,"This luxurious 4-bedroom condo offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy patio, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for style and comfort."
88,694,160,88,88,697,697,9741 King Terrace Suite 268,6289,NJ,Waterbury,1998,1681,Single Family Home,1,1,"This luxurious 1-bedroom single family home offers a spacious living environment, featuring a modern kitchen with state-of-the-art appliances, a cozy patio, and ample natural light throughout the property. Conveniently located in a desirable neighborhood, this home is perfect for those looking for style and comfort."
